Transaction Title,Transaction Link,Transaction Date
Veritiv agrees to sell Veritiv Canada business to Imperial Dade,https://www.google.com/search?q=Veritiv+agrees+to+sell+Veritiv+Canada+business+to+Imperial+Dade,3/18/2022
Daikin subsidiary agrees to acquire CCOM Group,https://www.google.com/search?q=Daikin+subsidiary+agrees+to+acquire+CCOM+Group,3/18/2022
Equinix to acquire four Entel data centers for $705M,https://www.google.com/search?q=Equinix+to+acquire+four+Entel+data+centers+for+$705M,3/18/2022
Cancer focused Apexigen to go public via deal with SPAC Brookline Capital,https://www.google.com/search?q=Cancer+focused+Apexigen+to+go+public+via+deal+with+SPAC+Brookline+Capital,3/18/2022
Prudential Financial and LeapFrog Investments to acquire a strategic minority interest in Alexander Forbes Group,https://www.google.com/search?q=Prudential+Financial+and+LeapFrog+Investments+to+acquire+a+strategic+minority+interest+in+Alexander+Forbes+Group,3/18/2022
"• Cornerstone OnDemand, a portfolio company of Clearlake Capital, agreed to buy EdCast, a Mountain View, Calif.-based provider of learning experience software that had raised over $100m from firms like Avathon Capital, REV Venture Partners, National Grid Partners, Sterling Partners and State Street Global Advisors and Cervin Ventures.",https://www.axios.com/newsletters/axios-pro-rata,3/18/2022
"🚑 Fullscript, a portfolio company of HGGC and Snapdragon Capital Partners, bought Emerson Ecologics, a Manchester, N.H.-based nutritional supplements distributor, from Liberty Lane Partners (which retains a minority stake).",https://www.axios.com/newsletters/axios-pro-rata,3/18/2022
"• Horsepower, an auto aftermarket platform of Huron Capital, acquired Rago Fabrication, a Kerrville, Texas-based maker of off-road/overland aftermarket products for Toyota and Lexus vehicles.",https://www.axios.com/newsletters/axios-pro-rata,3/18/2022
"• Nadir Figueiredo, a Colombian glass tableware company owned by H.I.G. Capital, acquired rival Cristar Tabletop from Owens Illinois (NYSE: OI).",https://www.axios.com/newsletters/axios-pro-rata,3/18/2022
"• Newfold Digital, a portfolio company of Clearlake Capital and Siris Capital Group, acquired YITH, a provider of WooCommerce plugins and themes for WordPress.",https://www.axios.com/newsletters/axios-pro-rata,3/18/2022
"• Sycamore Partners is considering a buyout bid for British fashion retailer Ted Baker (LSE: TED), per Sky News.",https://www.axios.com/newsletters/axios-pro-rata,3/18/2022
"• France's antitrust regulator is launching an investigation into the pending merger of TF1 and M6, the country's two largest private broadcasters.",https://www.axios.com/newsletters/axios-pro-rata,3/18/2022
